Rk,Player,Nation,Pos,Squad,90s,Cmp,ShortCmp,MedCmp,LongCmp,xAG,xA,KP,1/3P,PPA,CrsPA,SCA,PrgP,SuccTkon,PrgC,1/3C,CPA,PrgR,TcklW,Int
224,Flynn Downes,eng ENG,MF,Southampton,23.9,42,24.1,14.7,1.55,0.05,0.06,0.63,2.59,0.5,0,1.3,2.76,0.33,1.21,0.88,0.17,1.21,1.05,1.34
225,Tommy Doyle,eng ENG,MF,Wolves,5.4,59.4,20.7,25.6,11.3,0.09,0.06,1.3,8.15,0.56,0,3.13,7.41,0.93,1.11,0.56,0,0.74,1.11,0.93
226,Harvey Elliott,eng ENG,MF,Liverpool,4.1,58.5,29.3,22.2,5.37,0.27,0.17,2.44,6.34,1.46,0,5.11,10.7,0.98,2.44,2.68,1.22,7.32,0.73,0.24
227,Christian Eriksen,dk DEN,MF,Manchester Utd,11.8,50,26.4,16.4,5.25,0.27,0.22,2.63,4.58,1.1,0.51,4.74,4.66,0,1.1,1.19,0.08,2.46,0.76,0.59
228,Romain Esse,eng ENG,MF,Crystal Palace,1.5,21.3,13.3,6.67,1.33,0.27,0.27,2,1.33,0.67,0,5.18,4.67,1.33,0.67,0.67,1.33,9.33,4,0.67
229,Bruno Fernandes,pt POR,MF,Manchester Utd,33.5,51,23.9,18.8,6.66,0.25,0.24,2.72,6.39,2.54,0.33,5.76,9.7,0.84,2.3,1.94,0.42,3.85,1.49,0.78
230,Mateus Fernandes,pt POR,MF,Southampton,32.3,33.7,15.8,12.8,3.41,0.09,0.11,1.05,3.03,0.84,0.19,2.41,4.49,1.52,2.35,2.17,0.28,3.34,1.49,0.87
231,Enzo Fernández,ar ARG,MF,Chelsea,32.7,46.4,21.4,19.1,4.8,0.21,0.19,2.35,5.11,1.25,0.21,4.49,6.48,0.8,1.83,1.68,0.28,3.85,1.01,0.4
232,Idrissa Gana Gueye,sn SEN,MF,Everton,34,36.2,17.9,14.7,3.06,0.05,0.06,0.56,4.53,0.29,0.09,1.76,4.26,0.53,0.79,0.79,0.12,0.79,2.35,1.41
233,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,31.1,31.9,17.4,10.8,2.35,0.16,0.15,1.64,4.12,1.32,0.32,3.69,5.27,1,2.22,1.67,0.42,4.41,0.71,0.74
234,Billy Gilmour,sct SCO,MF,Brighton,1.1,52.7,32.7,16.4,3.64,0,0,0,10.9,1.82,0,2.76,10,0.91,1.82,0,0,1.82,2.73,0
235,Michael Golding,eng ENG,MF,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,João Gomes,br BRA,MF,Wolves,33,41.8,24.6,13,2,0.04,0.06,0.7,3.7,0.73,0.03,2.03,5,0.91,1.79,1.55,0.18,2.3,2.15,0.76
237,Diego Gómez,py PAR,MF,Brighton,5.7,42.6,24.2,14.7,2.46,0.12,0.21,1.4,2.46,1.23,0.18,3.32,4.74,1.05,1.4,0.7,0,4.04,2.28,1.4
238,Nicolás González,es ESP,MF,Manchester City,8.4,68.5,39.5,26.5,1.67,0.01,0.06,0.12,6.19,0.48,0,1.77,5.95,0.12,1.07,1.43,0.36,1.31,0.71,0.95
239,Ryan Gravenberch,nl NED,MF,Liverpool,35.1,48.9,26.1,19.4,1.82,0.09,0.1,0.74,4.3,1,0.06,1.94,5.16,1.05,1.99,2.14,0.28,1.57,1,1.71
240,Bruno Guimarães,br BRA,MF,Newcastle Utd,36.3,40.8,20.3,16,3.25,0.17,0.15,1.43,4.96,2.12,0.17,3.66,7.47,0.94,1.76,1.27,0.41,2.64,1.29,0.8
241,İlkay Gündoğan,de GER,MF,Manchester City,24.7,61.7,35.3,21.1,4.13,0.14,0.18,1.78,4.37,0.93,0.08,3.56,5.14,0.69,2.59,2.31,0.45,3.89,0.53,0.53
242,Marcus Harness,eng ENG,MF,Ipswich Town,0.5,20,18,0,0,0,0.2,0,0,4,0,4,4,0,0,0,0,2,0,0
243,Will Hughes,eng ENG,MF,Crystal Palace,23.4,31.5,15.9,12.3,2.05,0.13,0.11,1.41,3.25,0.64,0.13,2.86,3.72,0.21,0.85,1.03,0.04,1.15,1.54,0.9
